block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,FLOPS/Watt,SM_Active_Avg,Temperature,SM_Eff,strategy_time,framework_time,timestamp,run_label,batch_size,seq_len,nhead,dim_per_head
512,1,115,31.103427800581105,,100.0,62.0,0.0259775999933481,"[0.01836800016462803, 0.03001599945127964, 0.028704000636935234, 0.02768000029027462, 0.0261439997702837, 0.025919999927282333, 0.026655999943614006, 0.025696000084280968, 0.025407999753952026, 0.02518399991095066]",62.0,99.192,0.0025767700985401,716.7067751288414,0,667.0560229104012,5.032754098711302e-06,1627736988.401174,31.103427800581105,62.0,,0.1313711982220411,49.005925888195634,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,128,185,16.648486323488203,,100.0,62.0,0.016508800163865,"[0.009279999881982803, 0.02115200087428093, 0.019360000267624855, 0.01708799973130226, 0.016704000532627106, 0.01571200042963028, 0.01926399953663349, 0.01571200042963028, 0.015552000142633915, 0.015263999812304974]",64.0,138.246,0.0022822755874536,714.7999699227512,0,483.753093983978,4.457569506745495e-06,1837772801.4343493,16.648486323488203,62.0,,0.1264209859073162,50.73334905318916,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
32,1,235,2.083333333333333,,100.0,62.0,0.0176991999149322,"[0.010784000158309937, 0.022272000089287758, 0.019711999222636223, 0.01833599992096424, 0.017823999747633934, 0.017664000391960144, 0.018559999763965607, 0.017343999817967415, 0.017696000635623932, 0.01679999940097332]",62.0,99.044,0.0017529995563745,713.0843659397215,0,536.2776450347155,3.423827258544042e-06,2392644073.8378806,2.083333333333333,62.0,,0.1422709319740533,50.587187986820936,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,1,185,4.166428408051235,,100.0,62.0,0.0195968001149594,"[0.012160000391304493, 0.023711999878287315, 0.02143999934196472, 0.020416000857949257, 0.020447999238967896, 0.020608000457286835, 0.019872000440955162, 0.01942400075495243, 0.01913600042462349, 0.018751999363303185]",62.0,97.67,0.001914019467228,713.122544111684,0,552.3441871628165,3.7383192719298672e-06,2191359111.970917,4.166428408051235,62.0,,0.141410855576396,49.96751365251839,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,4,100,16.661920786953143,,100.0,62.0,0.0388288002461194,"[0.0315839983522892, 0.04403200000524521, 0.04121600091457367, 0.04028800129890442, 0.03961599990725517, 0.03846399858593941, 0.03840000182390213, 0.0382080003619194, 0.03859199956059456, 0.03788800165057182]",62.0,97.9,0.003801339544095,710.3587440215051,0,781.6848671063781,7.42449129706074e-06,1103375257.944353,16.661920786953143,62.0,,0.1482008956372738,53.289146861061454,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,4,150,16.6599396660406,,100.0,62.0,0.0382240001112222,"[0.0307839997112751, 0.0424639992415905, 0.04131200164556503, 0.03920000046491623, 0.038943998515605927, 0.03814399987459183, 0.03788800165057182, 0.03811199963092804, 0.03788800165057182, 0.03750399872660637]",62.0,97.375,0.0037220620108302,716.0456019919366,0,789.5993611309677,7.269652364902868e-06,1126876443.1639304,16.6599396660406,62.0,,0.1427410170435905,50.412386655807495,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
256,2,185,33.24684419618235,,100.0,62.0,0.0399839997291564,"[0.03209599852561951, 0.04355200007557869, 0.04233599826693535, 0.04108799993991852, 0.04092799872159958, 0.03936000168323517, 0.04227200150489807, 0.039423998445272446, 0.038975998759269714, 0.0398080013692379]",62.0,98.371,0.0039332660373568,712.9015980754048,0,781.9052450358868,7.682160229212606e-06,1066366719.2007594,33.24684419618235,62.0,,0.1447307877242565,52.67918203026056,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
256,1,115,16.62047999319049,,100.0,62.0,0.0255424000322818,"[0.018271999433636665, 0.03017600066959858, 0.028511999174952507, 0.026944000273942947, 0.025919999927282333, 0.02550400048494339, 0.02521600015461445, 0.02521600015461445, 0.024992000311613083, 0.024671999737620354]",62.0,98.544,0.0025170502687811,716.9514948036522,0,673.7639689818025,4.916113806213252e-06,1666356867.012823,16.62047999319049,62.0,,0.1482111401855945,49.61014026775956,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1,512,150,33.03822803052387,,100.0,62.0,0.0208064001053571,"[0.013248000293970108, 0.02537599951028824, 0.02252800017595291, 0.022495999932289124, 0.02179200015962124, 0.02112000063061714, 0.02051199972629547, 0.020160000771284103, 0.020255999639630318, 0.020576000213623047]",66.0,153.575,0.0031953428961802,716.369029134512,0,612.392523791641,6.240904094102006e-06,1312630329.9135594,33.03822803052387,62.0,,0.1385610084980726,49.57976005971432,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
128,4,250,33.27350649205659,,100.0,62.0,0.0646176010370254,"[0.05689600110054016, 0.07023999840021133, 0.06774400174617767, 0.06579200178384781, 0.0647680014371872, 0.06460800021886826, 0.06406400352716446, 0.06393600255250931, 0.06403200328350067, 0.06409599632024765]",63.0,100.637,0.0065029215155631,713.6922378558666,0,882.8934519551694,1.270101858508424e-05,644987639.7803622,33.27350649205659,62.0,,0.1395510043948888,49.39365922473371,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,128,165,66.29858595783668,,100.0,62.0,0.046009599789977,"[0.03814399987459183, 0.05142400041222572, 0.04790399968624115, 0.046879999339580536, 0.04630399867892265, 0.04620800167322159, 0.0461760014295578, 0.04585599899291992, 0.04540799930691719, 0.045791998505592346]",63.0,112.086,0.0051570320020593,708.0809278413653,0,815.7944269478321,1.0072328129022208e-05,813317427.2188107,66.29858595783668,62.0,,46.67087993584573,40.81299644894898,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,128,185,33.080116014360314,,100.0,62.0,0.0229919999837875,"[0.015168000012636185, 0.02755199931561947, 0.025760000571608543, 0.02364799939095974, 0.023744000121951103, 0.023455999791622162, 0.02271999977529049, 0.02236800082027912, 0.022272000089287758, 0.023231999948620796]",64.0,125.85,0.0028935431979596,685.2879240177572,0,608.1111789681017,5.651451558514964e-06,1449539098.9695785,33.080116014360314,62.0,,0.3841330762952566,51.067040069028735,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,256,165,66.12996344347799,,100.0,63.0,0.03390400018543,"[0.026240000501275063, 0.038495998829603195, 0.036768000572919846, 0.035392001271247864, 0.033824000507593155, 0.0342399999499321, 0.03388800099492073, 0.033376000821590424, 0.03311999887228012, 0.033695999532938004]",65.0,125.902,0.004268581431346,697.2932380158454,0,749.3500530254096,8.337073108097684e-06,982599036.1105536,66.12996344347799,63.0,,0.219081062823534,45.437640976160765,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,64,150,16.651129717605155,,100.0,63.0,0.0176383999176323,"[0.010367999784648418, 0.022175999358296394, 0.01958400011062622, 0.018144000321626663, 0.017472000792622566, 0.017920000478625298, 0.01724799908697605, 0.018719999119639397, 0.017055999487638474, 0.017696000635623932]",64.0,122.565,0.0021618504859046,715.5396740417928,0,510.7126198709011,4.222364230282438e-06,1940145272.463155,16.651129717605155,63.0,,6.001482019200921,41.43642308190465,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,32,250,16.65600453928484,,100.0,63.0,0.0205568000674247,"[0.012992000207304955, 0.02537599951028824, 0.022304000332951546, 0.022112000733613968, 0.020800000056624413, 0.02127999998629093, 0.02070399932563305, 0.01990400068461895, 0.019967999309301376, 0.020128000527620316]",63.0,110.356,0.0022685662282407,696.0676861926913,0,568.0633629672229,4.430793414532673e-06,1848878797.44762,16.65600453928484,63.0,,0.3826520405709743,44.9324066285044,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,64,135,16.649619968327407,,100.0,63.0,0.0174335999414324,"[0.010495999827980995, 0.022143999114632607, 0.019360000267624855, 0.017503999173641205, 0.01817600056529045, 0.017696000635623932, 0.016704000532627106, 0.017632000148296356, 0.016767999157309532, 0.017855999991297722]",64.0,122.272,0.0021316411320388,697.9506378993392,0,516.3945471867919,4.163361586013343e-06,1967640770.7465804,16.649619968327407,63.0,,0.2113920636475086,50.74011697433889,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,16,165,8.330125311952424,,100.0,63.0,0.0164608000777661,"[0.009535999968647957, 0.021568000316619873, 0.018624000251293182, 0.016831999644637108, 0.016575999557971954, 0.01664000004529953, 0.016383999958634377, 0.015936000272631645, 0.01532800029963255, 0.017184000462293625]",63.0,108.664,0.0017886963796503,716.9634799938649,0,494.8135239537805,3.4935476165046568e-06,2344894330.707938,8.330125311952424,63.0,,5.416358122602105,40.293425088748336,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,256,165,33.0304283366899,,100.0,63.0,0.021113600116223,"[0.013279999606311321, 0.025696000084280968, 0.023104000836610794, 0.0226879995316267, 0.02163200080394745, 0.021183999255299568, 0.021376000717282295, 0.020800000056624413, 0.02054399996995926, 0.0208320003002882]",66.0,151.588,0.003200568414418,688.2284958846867,0,572.2051979973912,6.251110184410208e-06,1310487218.8031852,33.0304283366899,63.0,,0.3769730683416128,0.4494830500334501,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,16,150,8.330119360308542,,100.0,63.0,0.016319999936968,"[0.009535999968647957, 0.02131200022995472, 0.018719999119639397, 0.017216000705957413, 0.0163199994713068, 0.015936000272631645, 0.01571200042963028, 0.015552000142633915, 0.015615999698638916, 0.01727999933063984]",64.0,108.744,0.0017747020731456,697.4886399693787,0,502.0306329242885,3.4662149866126127e-06,2363384853.9803643,8.330119360308542,63.0,,0.2175120171159505,42.64770005829632,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1,1024,135,66.02280477806886,,100.0,63.0,0.0303520001471042,"[0.022911999374628067, 0.03446400165557861, 0.03292800113558769, 0.03161599859595299, 0.030432000756263733, 0.03062400035560131, 0.030271999537944794, 0.03049599938094616, 0.029823999851942062, 0.029952000826597214]",66.0,136.389,0.0041396789480634,722.3203440662473,0,801.7302618827671,8.085310445436335e-06,1013195480.2828732,66.02280477806886,63.0,,4.207639954984188,42.71737905219197,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,128,165,33.0742297816931,,100.0,63.0,0.0228160000406205,"[0.015072000212967396, 0.027456000447273254, 0.025631999596953392, 0.024032000452280045, 0.023744000121951103, 0.022655999287962914, 0.022336000576615334, 0.022112000733613968, 0.02239999920129776, 0.02271999977529049]",65.0,125.921,0.0028730135411149,690.0521740317345,0,613.282424164936,5.6113545724902e-06,1459897052.337679,33.0742297816931,63.0,,0.3816219978034496,44.7109357919544,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1,1024,150,66.00880439117289,,100.0,63.0,0.0301087999716401,"[0.023135999217629433, 0.03478400036692619, 0.0326399989426136, 0.03145600110292435, 0.030079999938607216, 0.03001599945127964, 0.029791999608278275, 0.029888000339269638, 0.02940800040960312, 0.029888000339269638]",68.0,155.685,0.0046874885235847,704.0436109527946,0,775.5475929006934,9.155251022626543e-06,894787044.0421636,66.00880439117289,63.0,,0.2110220957547426,50.11863214895129,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,128,250,66.30606920473316,,100.0,63.0,0.0455487992614507,"[0.03814399987459183, 0.05119999870657921, 0.048287998884916306, 0.046879999339580536, 0.045791998505592346, 0.04543999955058098, 0.04495999962091446, 0.04479999840259552, 0.04464000090956688, 0.045343998819589615]",64.0,112.756,0.0051359004095241,713.858688948676,0,828.7602649070323,1.003105548735184e-05,816663810.7354997,66.30606920473316,63.0,,18.90829298645258,38.87836216017604,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,256,185,66.10788837887812,,100.0,63.0,0.0339680003002286,"[0.02627200074493885, 0.03836800158023834, 0.03638400137424469, 0.03516799956560135, 0.03478400036692619, 0.03436800092458725, 0.034015998244285583, 0.03388800099492073, 0.033055998384952545, 0.033376000821590424]",65.0,126.699,0.0043037116700386,694.843343924731,0,753.2326530199498,8.405686855544263e-06,974578299.2851655,66.10788837887812,63.0,,0.3742028493434191,44.30101020261645,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
32,2,250,4.166422446997354,,100.0,63.0,0.0209664001129567,"[0.013535999692976475, 0.025760000571608543, 0.022336000576615334, 0.022592000663280487, 0.022143999114632607, 0.02127999998629093, 0.02067199908196926, 0.020416000857949257, 0.020128000527620316, 0.020800000056624413]",64.0,103.395,0.0021678209396791,694.665489019826,0,591.405465034768,4.234025272810868e-06,1934801866.3482203,4.166422446997354,63.0,,0.2251809928566217,44.69100502319634,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1024,1,250,60.18650336323714,,100.0,63.0,0.0259423999115824,"[0.018751999363303185, 0.030239999294281006, 0.028896000236272812, 0.026815999299287796, 0.02627200074493885, 0.026079999282956123, 0.0261439997702837, 0.02550400048494339, 0.025407999753952026, 0.025312000885605812]",64.0,103.539,0.0026860501444453,716.1813599523157,0,673.9737729076296,5.2461916883698e-06,1561513662.9797034,60.18650336323714,63.0,,7.423731964081526,0.4706932231783867,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,512,150,66.0284867062069,,100.0,63.0,0.030227199755609,"[0.023135999217629433, 0.03468799963593483, 0.0326399989426136, 0.03161599859595299, 0.03081599995493889, 0.030559999868273735, 0.030208000913262367, 0.02940800040960312, 0.02953599952161312, 0.029664000496268272]",67.0,153.365,0.0046357944905189,690.1140450499952,0,727.1094538737088,9.054286114294884e-06,904764870.0946716,66.0284867062069,63.0,,0.3593629226088524,47.222192166373134,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
512,1,250,31.131225394641287,,100.0,64.0,0.0259584000334143,"[0.01836800016462803, 0.030400000512599945, 0.02937600016593933, 0.02735999971628189, 0.02643200010061264, 0.02643200010061264, 0.02518399991095066, 0.025599999353289604, 0.024992000311613083, 0.025439999997615814]",64.0,103.67,0.002691107331464,691.9592171907425,0,667.621755041182,5.256069006765756e-06,1558579232.7792945,31.131225394641287,64.0,,0.2204221673309803,49.5750866830349,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,16,150,4.16617266176896,,100.0,63.0,0.0150463997386395,"[0.00825599953532219, 0.019967999309301376, 0.01711999997496605, 0.0163199994713068, 0.015359999611973763, 0.01462399959564209, 0.014336000196635723, 0.014879999682307243, 0.01484800036996603, 0.014751999638974667]",64.0,111.314,0.0016748749405069,729.853130877018,0,457.02429697848856,3.2712401181775925e-06,2504249062.757204,4.16617266176896,63.0,,10.311822174116967,45.80705193802714,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,32,150,8.32940259462208,,100.0,63.0,0.0151936002075672,"[0.00848000030964613, 0.020767999812960625, 0.01740800030529499, 0.016448000445961952, 0.01539199985563755, 0.015200000256299973, 0.014720000326633453, 0.014368000440299511, 0.014431999996304512, 0.014720000326633453]",64.5,116.192,0.0017653747953176,692.6189090590924,0,461.6814479231834,3.4479976471047846e-06,2375871690.88664,8.32940259462208,63.0,,0.370322959497571,0.451043015345931,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
16,4,150,4.166272529846011,,100.0,63.0,0.0176896000280976,"[0.010495999827980995, 0.022816000506281853, 0.01913600042462349, 0.01849599927663803, 0.017632000148296356, 0.017920000478625298, 0.01836800016462803, 0.01727999933063984, 0.017535999417304993, 0.017216000705957413]",64.0,104.563,0.0018496776477379,692.6251570694149,0,516.0285979509354,3.612651655738227e-06,2267586465.744096,4.166272529846011,63.0,,0.2215818967670202,0.4596831277012825,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,16,250,8.330125801606421,,100.0,63.0,0.0163264000788331,"[0.009535999968647957, 0.02147199958562851, 0.018464000895619392, 0.017152000218629837, 0.01711999997496605, 0.016224000602960587, 0.01616000011563301, 0.01603199914097786, 0.015584000386297703, 0.015519999898970127]",64.0,109.722,0.0017913652694497,724.3508379906416,0,501.7370479181409,3.498760291893996e-06,2341400758.1426497,8.330125801606421,63.0,,2.529007149860263,40.63610592857003,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,128,165,16.64862943176751,,100.0,63.0,0.0162528000771999,"[0.009312000125646591, 0.021344000473618507, 0.018271999433636665, 0.01664000004529953, 0.01651199907064438, 0.0163199994713068, 0.016224000602960587, 0.01600000075995922, 0.015456000342965126, 0.016448000445961952]",66.0,144.229,0.0023441251023344,693.5664010234177,0,490.5537180602551,4.578369340497011e-06,1789283343.206799,16.64862943176751,63.0,,0.3671129234135151,52.09676409140229,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,1,250,4.166348101991666,,100.0,64.0,0.0192735998891294,"[0.012160000391304493, 0.023871999233961105, 0.02054399996995926, 0.02070399932563305, 0.019967999309301376, 0.019551999866962433, 0.019360000267624855, 0.019200000911951065, 0.018719999119639397, 0.01865600049495697]",64.0,102.981,0.0019848145901824,709.8175538703799,0,562.2415200341493,3.876590996450068e-06,2113196880.326479,4.166348101991666,64.0,,0.2698821481317282,48.12628705985844,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,64,100,33.16125323922786,,100.0,63.0,0.0293024001643061,"[0.021088000386953354, 0.03356799855828285, 0.03152000159025192, 0.031072000041604042, 0.029888000339269638, 0.029664000496268272, 0.0289280004799366, 0.029055999591946602, 0.028736000880599022, 0.029503999277949333]",64.0,102.594,0.0030062504424568,726.8821420148015,0,697.0233418978751,5.8715828954234895e-06,1395194472.41137,33.16125323922786,63.0,,2.423027064651251,39.71035801805556,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,64,250,33.16948486448083,,100.0,63.0,0.0285823998972773,"[0.020896000787615776, 0.032735999673604965, 0.03129599988460541, 0.030400000512599945, 0.029311999678611755, 0.028991999104619026, 0.028063999488949776, 0.02783999964594841, 0.02783999964594841, 0.02844800055027008]",64.0,113.601,0.0032469892107306,697.7951969020069,0,702.2409671917558,6.341775802208213e-06,1291751751.4806402,33.16948486448083,63.0,,0.3769530449062586,52.65612783841789,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,256,185,33.04229433008924,,100.0,63.0,0.0208799998275935,"[0.013279999606311321, 0.025087999179959297, 0.022816000506281853, 0.022495999932289124, 0.021503999829292297, 0.020864000543951988, 0.02070399932563305, 0.02035200037062168, 0.021215999498963356, 0.020479999482631683]",67.0,153.049,0.0031956630936133,696.1813240777701,0,581.5350809134543,6.2415294797136085e-06,1312498807.6441624,33.04229433008924,63.0,,0.2219418529421091,49.154243199154735,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1024,1,165,60.21378152334967,,100.0,64.0,0.026108800061047,"[0.018783999606966972, 0.03129599988460541, 0.028831999748945236, 0.02739199995994568, 0.026944000273942947, 0.02643200010061264, 0.025312000885605812, 0.02534399926662445, 0.025248000398278236, 0.02550400048494339]",64.0,104.743,0.0027347140447942,719.5286161731929,0,670.8093739580363,5.341238368738777e-06,1533726719.24664,60.21378152334967,64.0,,2.48542707413435,43.55390463024378,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,8,150,4.1661875938055575,,100.0,63.0,0.0161824001930654,"[0.008960000239312649, 0.0208320003002882, 0.017952000722289085, 0.016831999644637108, 0.0163199994713068, 0.0161920003592968, 0.015647999942302704, 0.016224000602960587, 0.01788800023496151, 0.014976000413298607]",64.0,107.453,0.0017388474479454,687.655831919983,0,462.6626970712096,3.3961864217684706e-06,2412117293.530148,4.1661875938055575,63.0,,0.3765230067074299,42.8534890525043,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,64,150,33.168744792720084,,100.0,63.0,0.0289375999942421,"[0.020864000543951988, 0.03302399814128876, 0.031936001032590866, 0.030047999694943428, 0.02985600009560585, 0.028863999992609024, 0.028575999662280083, 0.028416000306606293, 0.029184000566601753, 0.02860799990594387]",64.0,113.169,0.0032748392537483,709.2765511479229,0,693.38557892479,6.396170417477333e-06,1280766375.0821302,33.168744792720084,63.0,,0.2205220516771078,0.4654629155993461,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
16,8,100,8.331035859603755,,100.0,63.0,0.0205376002937555,"[0.012768000364303589, 0.024960000067949295, 0.02175999991595745, 0.02175999991595745, 0.0208320003002882, 0.020416000857949257, 0.019711999222636223, 0.023360000923275948, 0.019936000928282738, 0.019872000440955162]",64.0,101.769,0.0020900910442952,720.0881959870458,0,549.6810218319297,4.082209070889075e-06,2006756601.08115,8.331035859603755,63.0,,4.761062795296311,40.45478231273592,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
32,4,150,8.331992781358746,,100.0,63.0,0.0264192000031471,"[0.018783999606966972, 0.030592000111937523, 0.02876799926161766, 0.02755199931561947, 0.026847999542951584, 0.026784000918269157, 0.026240000501275063, 0.025696000084280968, 0.026176000013947487, 0.02675200067460537]",64.0,104.06,0.0027491819523274,690.732958028093,0,674.0533518604934,5.369496000639629e-06,1525655294.0954134,8.331992781358746,63.0,,0.3773318603634834,39.68639834783971,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,16,250,66.55506535057553,,100.0,63.0,0.1173696003854274,"[0.10969600081443787, 0.12294399738311768, 0.11974400281906128, 0.11907199770212173, 0.11747200042009354, 0.11785600334405899, 0.11695999652147293, 0.11667200177907944, 0.11654400080442429, 0.11673600226640701]",64.0,102.8,0.0120655949196219,693.350113928318,0,945.9391988348216,2.356561507738661e-05,347625129.79603845,66.55506535057553,63.0,,0.2360509242862463,49.09425531513989,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
