block_size_x,block_size_y,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,wall_time,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,time_per_run,energy_per_run,Joules/token,FLOPS/Watt,SM_Active_Avg,strategy_time,framework_time,timestamp,is_pareto,run_label,batch_size,seq_len,nhead,dim_per_head,strategy,iterations
1,2,2.083333333333333,,100.0,0.0002541542053222656,46.0,0.027590400725603103,"[0.018624000251293182, 0.03299200162291527, 0.030880000442266464, 0.02672000043094158, 0.028736000880599022]",48.0,111.821,0.0030851861995376643,817.6253950223327,0,626.9394471310079,0.027590400725603103,0.0006170372399075328,1.506438573993e-07,54379913933.603676,2.083333333333333,0,0.2726907841861248,2025-07-03T17:28:22.533127,False,rq3_enhanced,4,1024,16,256,brute_force,5
2,1,2.083333333333333,,100.0,9.942054748535156e-05,46.0,0.026240000128746034,"[0.018624000251293182, 0.030208000913262367, 0.027327999472618103, 0.027648000046610832, 0.02739199995994568]",47.0,98.743,0.0025910163327127695,816.9773831032217,0,662.0734138414264,0.026240000128746034,0.0005182032665425539,1.265144693707407e-07,64751486851.62634,2.083333333333333,0,0.258070882409811,2025-07-03T17:28:22.533127,True,rq3_enhanced,4,1024,16,256,brute_force,5
2,2,2.0833333333333335,,100.0,0.00010013580322265625,47.0,0.026374400407075883,"[0.018464000895619392, 0.030688000842928886, 0.02751999907195568, 0.027936000376939774, 0.027264000847935677]",47.523809523809526,99.351,0.002620323054843396,814.8588831536472,0,658.2947880961001,0.026374400407075883,0.0005240646109686792,1.2794546166227519e-07,64027280792.68338,2.0833333333333335,0,0.27463072910904884,2025-07-03T17:28:22.533127,False,rq3_enhanced,4,1024,16,256,brute_force,5
1,1,2.083333333333333,,100.0,0.0001685619354248047,47.0,0.04089599959552288,"[0.030527999624609947, 0.045343998819589615, 0.04396799951791763, 0.04294399917125702, 0.04169600084424019]",49.0,114.989,0.004702590097489581,816.8575633317232,0,729.4533690437675,0.04089599959552288,0.0009405180194979162,1.1480932855199172e-07,71353086925.25128,2.083333333333333,0,0.0,2025-07-03T17:28:31.489001,False,rq3_enhanced,4,2048,16,256,brute_force,5
1,2,2.0833333333333335,,100.0,9.989738464355469e-05,47.0,0.03863679952919483,"[0.030592000111937523, 0.042847998440265656, 0.04089599847793579, 0.039583999663591385, 0.039264000952243805]",49.0,115.264,0.004453432060933113,822.3566180095077,0,769.5566802285612,0.03863679952919483,0.0008906864121866226,1.0872636867512483e-07,75345108089.44383,2.0833333333333335,0,0.25726063176989555,2025-07-03T17:28:31.489001,True,rq3_enhanced,4,2048,16,256,brute_force,5
2,1,2.0833333333333335,,100.0,0.00010061264038085938,48.0,0.03889279924333096,"[0.0306560005992651, 0.04294399917125702, 0.04105599969625473, 0.039903998374938965, 0.039903998374938965]",49.0,101.189,0.003935523462633417,812.3401729390025,0,767.9660432040691,0.03889279924333096,0.0007871046925266833,9.608211578694865e-08,85260403904.5606,2.0833333333333335,0,0.256591010838747,2025-07-03T17:28:31.489001,True,rq3_enhanced,4,2048,16,256,brute_force,5
2,2,2.0833333333333335,,100.0,0.00010013580322265625,48.0,0.038841599598526955,"[0.030592000111937523, 0.04355200007557869, 0.04105599969625473, 0.04009599983692169, 0.03891199827194214]",49.0,101.535,0.003943781815236434,815.1632361114025,0,768.6326471157372,0.038841599598526955,0.0007887563630472868,9.628373572354576e-08,85081867030.18298,2.0833333333333335,0,0.26563089340925217,2025-07-03T17:28:31.489001,True,rq3_enhanced,4,2048,16,256,brute_force,5
1,1,2.083333333333333,,100.0,0.00010275840759277344,48.0,0.06367999911308289,"[0.05462399870157242, 0.06908799707889557, 0.06531199812889099, 0.0647680014371872, 0.06460800021886826]",50.0,116.125,0.00739483989700675,816.6797836311162,0,856.7613237537444,0.06367999911308289,0.00147896797940135,9.026904171150818e-08,90750935699.31653,2.083333333333333,0,0.0,2025-07-03T17:28:42.025918,False,rq3_enhanced,4,4096,16,256,brute_force,5
1,2,2.083333333333333,,100.0,0.00010824203491210938,48.0,0.06316160187125205,"[0.05452800169587135, 0.0679360032081604, 0.06480000168085098, 0.06470400094985962, 0.06384000182151794]",50.0,116.555,0.007361800506103784,813.6330707930028,0,865.2727929875255,0.06316160187125205,0.0014723601012207569,8.986572883427471e-08,91158221340.49814,2.083333333333333,0,0.26001129299402237,2025-07-03T17:28:42.025918,False,rq3_enhanced,4,4096,16,256,brute_force,5
2,1,2.0833333333333335,,100.0,0.00010061264038085938,49.0,0.06332799941301345,"[0.054655998945236206, 0.06841599941253662, 0.06508799642324448, 0.06470400094985962, 0.06377600133419037]",50.0,103.251,0.006538679267393052,814.6783546544611,0,864.7247697226703,0.06332799941301345,0.0013077358534786102,7.981786215079408e-08,102633668445.33432,2.0833333333333335,0,0.2577328123152256,2025-07-03T17:28:42.025918,False,rq3_enhanced,4,4096,16,256,brute_force,5
2,2,2.0833333333333335,,100.0,9.965896606445312e-05,49.0,0.06281599849462509,"[0.05462399870157242, 0.06838399916887283, 0.06451199948787689, 0.0631679967045784, 0.06339199841022491]",50.0,104.055,0.006536318723358214,817.3442068509758,0,868.2213569991291,0.06281599849462509,0.0013072637446716428,7.978904691599383e-08,102670733849.28354,2.0833333333333335,0,0.2583209425210953,2025-07-03T17:28:42.025918,True,rq3_enhanced,4,4096,16,256,brute_force,5
1,1,2.083333333333333,,100.0,0.00016880035400390625,49.0,0.1457727998495102,"[0.1695680022239685, 0.1446080058813095, 0.1385599970817566, 0.13868799805641174, 0.13743999600410461]",51.0,135.041,0.019685304664477706,819.7325090877712,0,895.6130221486092,0.1457727998495102,0.003937060932895541,1.2014956460252506e-07,68181686942.441376,2.083333333333333,0,0.0,2025-07-03T17:28:55.001597,False,rq3_enhanced,4,8192,16,256,brute_force,5
1,2,2.0833333333333335,,100.0,0.00016760826110839844,50.0,0.14540800154209138,"[0.16889600455760956, 0.1456959992647171, 0.13795199990272522, 0.13740800321102142, 0.13708800077438354]",51.0,135.842,0.01975251374548078,824.1181089542806,0,897.4446300417185,0.14540800154209138,0.0039505027490961565,1.2055977627856923e-07,67949694772.751625,2.0833333333333335,0,0.25913119316101074,2025-07-03T17:28:55.001597,False,rq3_enhanced,4,8192,16,256,brute_force,5
2,1,2.083333333333333,,100.0,0.00017976760864257812,50.0,0.1112064003944397,"[0.1029760017991066, 0.1165120005607605, 0.11353600025177002, 0.11190400272607803, 0.11110399663448334]",51.0,105.078,0.011685346140646934,821.9163799658418,0,939.5954599604011,0.1112064003944397,0.0023370692281293867,7.1321692752972e-08,114859864983.48549,2.083333333333333,0,0.2619614824652672,2025-07-03T17:28:55.001597,True,rq3_enhanced,4,8192,16,256,brute_force,5
2,2,2.0833333333333335,,100.0,0.0001666545867919922,50.0,0.11150719970464706,"[0.1027199998497963, 0.11673600226640701, 0.11350400000810623, 0.11235199868679047, 0.11222399771213531]",51.0,105.515,0.011765682176835835,816.194333601743,0,933.9878358878195,0.11150719970464706,0.0023531364353671673,7.181202500510154e-08,114075602232.60713,2.0833333333333335,0,0.2608615905046463,2025-07-03T17:28:55.001597,False,rq3_enhanced,4,8192,16,256,brute_force,5
